SYMBOL,COMPANY,LDR,RTG,C,Q,V,E,M,G,VOL,ETMO,MC,FLT,ADTV,DAYS HELD,YTD PERF,P/E FY2,ROE,ANALYST,IM HOLD,
OTP HB,Otp Bank Plc,Yes,O,4,,,,,53,54,,"10,749","8,319","17,166,676.22",0.00,30.6,,,D.J. Neiman,,
BMA AR,Banco Macro Sa,Yes,O,4,,,,,9,36,,"6,433","2,465","1,078,464.14",0.00,36.4,,,D.J. Neiman,,
KBC BB,Kbc Group Nv,Yes,O,4,,,,,92,68,,"34,604","23,323","108,610,526.56",0.00,36.0,,,Joel Gomberg,,
139130 KS,Dgb Financial Group Inc,,O,4,,,,,51,31,,"1,704","1,489","5,885,285.56",0.00,27.8,,,Daniel Hill,,
IF IM,Banca Ifis Spa,,O,4,,,,,23,80,,"2,615","1,065","7,039,025.76",0.00,69.7,,,D.J. Neiman,,
BNP FP,Bnp Paribas Sa,Yes,O,4,,,,,74,38,,"98,251","89,657","488,130,990.98",0.00,26.7,,,Joel Gomberg,,
CHILE CI,Banco De Chile,Yes,O,5,,,,,62,16,,"14,115","4,309","6,253,477.14",0.00,28.1,,,Joel Gomberg,,
BUR LN,Burford Capital Ltd,,O,5,,,,,8,82,,"3,216","3,010","10,054,028.14",0.00,94.1,,,D.J. Neiman,,
ABCB4 BZ,Banco Abc Brasil Sa,,O,5,,,,,39,12,,"1,042",372,"1,731,247.89",0.00,31.5,,,Daniel Hill,,
ITUB4 BZ,Itau Unibanco Holding Sa,Yes,O,5,,,,,51,13,,"77,665","40,584","134,607,641.68",0.00,15.7,,,Joel Gomberg,,
CBG LN,Close Brothers Group Plc,,O,5,,,,,76,17,,"2,987","2,946","11,051,946.81",0.00,12.6,,,Daniel Hill,,
BBRI IJ,Bank Rakyat Indonesia Persero Tbk Pt,Yes,O,5,,,,,38,10,,"28,120","12,160","22,785,536.42",0.00,29.7,,,Joel Gomberg,,
SDR LN,Schroders Plc,,O,5,,,,,61,23,,"11,813","7,309","26,370,570.59",0.00,24.6,,,Joel Gomberg,,
BBTN IJ,Bank Tabungan Negara Persero Tbk Pt,,O,6,,,,,24,22,,"2,121",849,"2,716,226.77",0.00,53.8,,,Daniel Hill,,
TD CN,Toronto-Dominion Bank/the,Yes,O,6,,,,,55,3,,"93,009","92,904","292,879,354.46",0.00,-8.1,,,Joel Gomberg,,
SAMPO FH,Sampo Oyj,Yes,O,7,,,,,88,10,,"29,704","23,472","60,311,606.84",0.00,27.1,,,Joel Gomberg,,
GFNORTEO MM,Grupo Financiero Banorte Sab De Cv,Yes,O,8,,,,,23,5,,"18,964","18,933","34,881,574.27",0.00,39.5,,,Joel Gomberg,,
BGEO LN,Bgeo Group Plc,,O,9,,,,,15,36,,"1,778","1,495","5,729,749.91",0.00,25.3,,,Daniel Hill,,
RY CN,Royal Bank Of Canada,Yes,O,9,,,,,66,6,,"106,685","106,633","326,634,205.86",0.00,-3.0,,,Joel Gomberg,,
IHFL IN,Indiabulls Housing Finance Ltd,,O,9,,,,,25,25,,"7,998","4,347","27,269,842.38",0.00,94.9,,,D.J. Neiman,,
ANIM IM,Anima Holding Spa,,O,10,,,,,81,33,,"2,548","2,294","13,834,774.87",0.00,54.7,,,Daniel Hill,,
AZM IM,Azimut Holding Spa,Yes,O,10,,,,,64,47,,"3,166","2,928","30,734,038.69",0.00,38.9,,,Daniel Hill,,
RMH SJ,Rmb Holdings Ltd,,O,10,,,,,59,2,,"7,038","2,877","7,777,732.39",0.00,3.1,,,Joel Gomberg,,
GGAL AR,Grupo Financiero Galicia Sa,Yes,O,10,,,,,3,58,,"5,539","2,677","2,328,295.37",0.00,39.3,,,D.J. Neiman,,
CMBN SW,Cembra Money Bank Ag,,O,10,,,,,77,1,,"2,624","2,543","14,307,679.69",0.00,30.4,,,Daniel Hill,,
JUP LN,Jupiter Fund Management Plc,Yes,O,10,,,,,54,16,,"3,093","2,658","14,232,137.57",0.00,34.5,,,Daniel Hill,,
PGHN VX,Partners Group Holding Ag,Yes,O,11,,,,,52,34,,"17,096","4,154","74,136,757.92",0.00,39.3,,,Joel Gomberg,,
BAP,Credicorp Ltd,Yes,O,11,,,,,40,3,,"15,943","7,407","49,858,692.00",0.00,22.6,,,Joel Gomberg,,
FAB UH,First Abu Dhabi Bank Pjsc,Yes,O,11,,,,,45,17,,"31,449","19,801","8,031,211.54",0.00,11.3,,,Joel Gomberg,,
BEZ LN,Beazley Ireland Holdings Plc,,O,12,,,,,50,49,,"3,529","3,486","8,476,289.40",0.00,45.3,,,D.J. Neiman,,
FSR SJ,Firstrand Ltd,Yes,O,12,,,,,57,1,,"23,425","12,866","46,015,871.39",0.00,5.3,,,Joel Gomberg,,
BGN IM,Banca Generali Spa,,O,13,,,,,47,34,,"4,026","2,681","17,972,472.23",0.00,50.4,,,Daniel Hill,,
8766 JP,Tokio Marine Holdings Inc,,O,13,,,,,63,11,,"30,780","27,604","92,761,191.33",0.00,3.1,,,Joel Gomberg,,
MZTF IT,Mizrahi Tefahot Bank Ltd,,O,13,,,,,58,16,,"4,229","3,279","6,236,167.81",0.00,24.5,,,Daniel Hill,,
MQG AU,Macquarie Group Ltd,Yes,O,13,,,,,70,21,,"23,788","23,514","85,085,023.69",0.00,11.9,,,Joel Gomberg,,
ICP LN,Intermediate Capital Group Plc,,O,13,,,,,96,23,,"3,393","3,135","15,210,860.97",0.00,39.2,,,D.J. Neiman,,
BLK,Blackrock Inc,Yes,O,13,,,,,36,3,,"69,427","49,839","248,191,264.00",0.00,12.8,,,Joel Gomberg,,
BSAC,Banco Santander Chile,Yes,O,14,,,,,71,7,,"13,800","4,529","13,132,376.00",0.00,30.5,,,Joel Gomberg,,
PRU LN,Prudential Plc,Yes,O,16,,,,,8,51,,"60,843","60,804","166,240,619.89",0.00,20.2,,,Joel Gomberg,,
ING PW,Ing Bank Slaski Sa,,O,16,,,,,37,45,,"7,001","1,750","734,135.29",0.00,40.1,,,D.J. Neiman,,
BBAS3 BZ,Banco Do Brasil Sa,Yes,O,17,,,,,15,36,,"27,757","10,296","69,261,587.99",0.00,6.3,,,Joel Gomberg,,
HSX LN,Hiscox Ltd,Yes,O,17,,,,,40,43,,"4,902","4,804","14,308,967.58",0.00,43.5,,,D.J. Neiman,,
SMCHILEB CI,Sociedad Matriz Del Banco De Chile Sa,,O,18,,,,,52,7,,"5,156","2,225","1,806,393.72",0.00,33.3,,,Joel Gomberg,,
000240 KS,Hankook Tire Worldwide Co Ltd,Yes,O,19,,,,,70,50,,"1,703",314,"2,416,862.30",0.00,15.4,,,Anil Daka,,
BBVA SM,Banco Bilbao Vizcaya Argentaria Sa,Yes,O,19,,,,,50,45,,"59,818","59,681","364,329,654.38",0.00,38.1,,,Joel Gomberg,,
AMG,Affiliated Managers Group Inc,Yes,O,19,,,,,38,10,,"9,983","9,880","72,458,768.00",0.00,23.3,,,D.J. Neiman,,
ARW LN,Arrow Global Group Plc,,O,20,,,,,29,24,,"1,051",955,"2,565,062.88",0.00,57.5,,,Daniel Hill,,
2884 TT,E.sun Financial Holding Co Ltd,,O,20,,,,,61,41,,"5,972","5,440","15,754,063.31",0.00,13.5,,,D.J. Neiman,,
YES IN,Yes Bank Ltd,,O,20,,,,,4,10,,"12,568","10,026","74,012,726.24",0.00,69.9,,,D.J. Neiman,,
8316 JP,Sumitomo Mitsui Financial Group Inc,Yes,O,22,,,,,95,35,,"52,991","44,427","247,049,458.48",0.00,0.5,,,Joel Gomberg,,
GFREGIO MM,Banregio Grupo Financiero Sab De Cv,,O,23,,,,,23,11,,"2,153","2,158","4,403,936.80",0.00,19.0,,,Daniel Hill,,
SLM SJ,Sanlam Ltd,Yes,O,24,,,,,37,40,,"11,353","9,030","25,340,557.92",0.00,18.0,,,D.J. Neiman,,
FBK IM,Finecobank Banca Fineco Spa,,O,25,,,,,85,10,,"5,334","3,174","26,062,347.12",0.00,62.0,,,D.J. Neiman,,
HDFCB IN,Hdfc Bank Ltd,Yes,O,25,,,,,5,10,,"71,494","56,447","36,278,948.70",0.00,57.0,,,Joel Gomberg,,
CPI SJ,Capitec Bank Holdings Ltd,Yes,O,25,,,,,6,8,,"7,549","5,133","10,286,335.70",0.00,32.2,,,D.J. Neiman,,
PBK MK,Public Bank Bhd,Yes,O,26,,,,,81,5,,"18,492","10,931","19,216,572.43",0.00,10.9,,,Joel Gomberg,,
KRU PW,Kruk Sa,,O,26,,,,,35,26,,"1,738","1,532","3,440,228.01",0.00,65.3,,,Daniel Hill,,
8358 JP,Suruga Bank Ltd,Yes,O,29,,,,,83,12,,"5,093","4,383","16,335,947.65",0.00,9.4,,,D.J. Neiman,,
7164 JP,Zenkoku Hosho Co Ltd,,O,31,,,,,66,13,,"2,812","2,743","11,143,862.82",0.00,36.4,,,Daniel Hill,,
MTLS TB,Muangthai Leasing Pcl,,O,31,,,,,23,56,,"2,197",558,"9,446,833.88",0.00,57.2,,,Daniel Hill,,
FITB,Fifth Third Bancorp,Yes,O,31,,,,,72,25,,"19,766","19,713","152,724,624.00",0.00,-1.1,,,Joel Gomberg,,
CUBK IN,City Union Bank Ltd,,O,32,,,,,17,33,,"1,631","1,295","1,632,693.90",0.00,50.9,,,Daniel Hill,,
GLJ GR,Grenke Ag,,O,35,,,,,29,3,,"4,019","2,272","5,302,456.67",0.00,65.0,,,Daniel Hill,,
8306 JP,Mitsubishi Ufj Financial Group Inc,Yes,O,35,,,,,76,28,,"88,585","73,075","395,812,364.62",0.00,3.8,,,Joel Gomberg,,
BDO PM,Bdo Unibank Inc,Yes,O,38,,,,,44,47,,"10,957","4,149","5,138,184.83",0.00,15.3,,,D.J. Neiman,,
BBCA IJ,Bank Central Asia Tbk Pt,Yes,O,38,,,,,38,15,,"34,830","14,994","29,459,991.69",0.00,23.6,,,Joel Gomberg,,
CERV IM,Cerved Information Solutions Spa,,O,39,,,,,63,41,,"2,115","2,115","6,364,629.39",0.00,37.9,,,Daniel Hill,,
REPCO IN,Repco Home Finance Ltd,,O,40,,,,,34,31,,680,159,"2,480,872.83",0.00,43.0,,,Daniel Hill,,
BBSE3 BZ,Bb Seguridade Participacoes Sa,Yes,O,41,,,,,58,23,,"17,114","5,765","36,379,811.56",0.00,4.1,,,Joel Gomberg,,
BKT SM,Bankinter Sa,Yes,O,41,,,,,73,34,,"8,639","6,164","37,971,535.91",0.00,26.9,,,Joel Gomberg,,
GENTERA* MM,Compartamos Sab De Com Npv,,O,41,,,,,62,32,,"2,407","1,631","6,340,205.14",0.00,-3.7,,,D.J. Neiman,,
HDFC IN,Housing Development Finance Corp Ltd,Yes,O,46,,,,,46,10,,"43,243","40,208","81,762,425.23",0.00,51.3,,,Joel Gomberg,,
SNN LN,Sanne Group Plc,,O,46,,,,,25,,,"1,322","1,233","4,544,328.17",0.00,25.5,,,Daniel Hill,,
LTFH IN,L&t Finance Holdings Ltd,,O,48,,,,,24,29,,"5,012","1,405","12,307,105.42",0.00,105.7,,,Daniel Hill,,
CANF IN,Can Fin Homes Ltd,,O,50,,,,,29,31,,"1,232",684,"6,558,802.97",0.00,108.5,,,Daniel Hill,,
UBSG VX,Ubs Group Ag,,O,51,,,,,74,44,,"65,604","63,250","384,259,920.02",0.00,15.1,,,Joel Gomberg,,
BAF IN,Bajaj Finance Ltd,Yes,O,52,,,,,24,46,,"14,752","5,275","24,299,616.19",0.00,114.2,,,D.J. Neiman,,
SECB PM,Security Bank Corp,,O,53,,,,,27,26,,"3,742","2,216","2,858,872.33",0.00,21.7,,,D.J. Neiman,,
IIB IN,Indusind Bank Ltd,Yes,O,54,,,,,4,8,,"15,369","13,962","22,560,196.39",0.00,56.0,,,D.J. Neiman,,
CGF AU,Challenger Ltd/australia,,O,56,,,,,60,48,,"5,411","5,130","24,136,700.12",0.00,27.8,,,D.J. Neiman,,
ICE,Intercontinental Exchange Inc,Yes,O,58,,,,,34,6,,"38,876","37,973","156,957,648.00",0.00,18.4,,,Daniel Hill,,
IIFL IN,Iifl Holdings Ltd,,O,59,,,,,17,39,,"2,924",954,"3,056,445.15",0.00,145.7,,,Daniel Hill,,
8439 JP,Tokyo Century Corp,,O,60,,,,,64,23,,"4,595","1,918","6,394,091.16",0.00,22.8,,,Daniel Hill,,
GS,Goldman Sachs Group Inc/the,Yes,O,60,,,,,48,44,,"90,818","78,728","732,249,792.00",0.00,-6.0,,,Joel Gomberg,,
MOFS IN,Motilal Oswal Financial Services Ltd,,O,61,,,,,3,84,,"2,496",552,"3,933,963.80",0.00,125.5,,,Daniel Hill,,
PSG SJ,Psg Group Ltd,,O,63,,,,,30,29,,"4,535","1,560","3,372,779.57",0.00,25.7,,,D.J. Neiman,,
AR4 GR,Aurelius Equity Opportunities Se & Co Kgaa,,O,64,,,,,1,92,,"1,766","1,305","15,634,706.99",0.00,9.4,,,D.J. Neiman,,
GRHF IN,Gruh Finance Ltd,,O,65,,,,,32,27,,"2,689","1,086","1,694,856.90",0.00,56.3,,,Daniel Hill,,
STJ LN,St James's Place Plc,Yes,O,66,,,,,9,49,,"8,165","8,095","32,453,270.01",0.00,29.3,,,D.J. Neiman,,
6080 JP,M&a Capital Partners Co Ltd,,O,66,,,,,1,39,,708,303,"9,346,010.83",0.00,76.7,,,D.J. Neiman,,
BAM/A CN,Brookfield Asset Management Inc,Yes,O,74,,,,,67,65,,"38,445","30,054","67,797,669.75",0.00,1.2,,,Joel Gomberg,,
BJFIN IN,Bajaj Finserv Ltd,,O,78,,,,,7,39,,"13,286","4,839","14,508,019.56",0.00,80.1,,,D.J. Neiman,,
BVMF3 BZ,B3 Sa - Brasil Bolsa Balcao,Yes,O,82,,,,,87,65,,"14,019","13,868","51,978,220.73",0.00,30.0,,,Daniel Hill,,
BHAFIN IN,Bharat Financial Inclusion Ltd,,O,84,,,,,22,81,,"1,772","1,478","33,672,554.41",0.00,52.8,,,D.J. Neiman,,
RBK IN,Rbl Bank Ltd,,O,91,,,,,1,33,,"3,097","1,649","13,947,137.37",0.00,69.3,,,D.J. Neiman,,
MTRO LN,Metro Bank Plc,,O,95,,,,,,76,,"4,006","3,029","9,314,327.27",0.00,35.4,,,D.J. Neiman,,
,,,,51,,,,,45,29,,,,,,36.7,,,,,
GBIO33 BZ,Biotoscana Investments Sa,,O,,,,,,,,,,,,,,,,Richard Reznick,,
UNH,Unitedhealth Group Inc,Yes,O,8,,,,,38,5,,"187,348","184,360","524,311,904.00",0.00,20.4,,,Tommy Sternberg,,
ICLR,Icon Plc,,O,10,,,,,49,14,,"5,536","5,428","33,861,404.00",0.00,36.8,,,Kwesi Smith,,
QUAL3 BZ,Qualicorp Sa,Yes,O,12,,,,,29,67,,"3,012","2,980","23,274,551.39",0.00,79.8,,,Richard Reznick,,
005500 KS,Samjin Pharmaceutical Co Ltd,,O,12,,,,,59,57,,397,243,"1,004,503.33",0.00,4.7,,,Richard Reznick,,
REC IM,Recordati Spa,,O,16,,,,,45,16,,"8,618","4,072","42,313,175.17",0.00,49.2,,,Kwesi Smith,,
DRW3 GR,Draegerwerk Ag & Co Kgaa,,O,20,,,,,38,47,,"1,574",781,"5,488,607.34",0.00,36.8,,,Richard Reznick,,
4507 JP,Shionogi & Co Ltd,Yes,O,22,,,,,49,46,,"16,986","16,078","62,432,635.38",0.00,12.5,,,Tommy Sternberg,,
AZN LN,Astrazeneca Plc,Yes,O,35,,,,,92,38,,"72,788","72,780","271,691,959.17",0.00,10.8,,,Tommy Sternberg,,
ABC LN,Abcam Plc,Yes,O,36,,,,,55,21,,"2,817","2,468","6,712,045.15",0.00,42.1,,,Richard Reznick,,
ALGN,Align Technology Inc,Yes,O,36,,,,,11,30,,"14,304","12,937","181,276,128.00",0.00,80.0,,,Richard Reznick,,
7741 JP,Hoya Corp,Yes,O,40,,,,,62,33,,"22,405","21,745","52,850,036.10",0.00,34.4,,,Tommy Sternberg,,
LONN VX,Lonza Group Ag,Yes,O,41,,,,,43,45,,"17,730","17,651","167,088,280.53",0.00,50.6,,,Tommy Sternberg,,
SUM NZ,Summerset Group Holdings Ltd,,O,42,,,,,17,55,,832,775,"994,910.83",0.00,12.0,,,Richard Reznick,,
UDG LN,Udg Healthcare Plc,,O,42,,,,,80,25,,"2,589","2,559","12,365,839.03",0.00,35.5,,,Richard Reznick,,
NOVOB DC,Novo Nordisk A/s,Yes,O,42,,,,,65,21,,"112,523","79,594","239,625,132.78",0.00,18.2,,,Tommy Sternberg,,
IPN FP,Ipsen Sa,,O,44,,,,,28,49,,"10,722","4,482","45,640,968.62",0.00,74.5,,,Kwesi Smith,,
DIA IM,Diasorin Spa,,O,46,,,,,50,6,,"4,675","2,006","9,491,129.55",0.00,46.3,,,Richard Reznick,,
000100 KS,Yuhan Corp,,O,50,,,,,77,49,,"2,335","1,290","9,663,454.80",0.00,31.6,,,Richard Reznick,,
ZTS,Zoetis Inc,Yes,O,50,,,,,53,3,,"30,080","30,063","154,584,000.00",0.00,16.9,,,Kwesi Smith,,
DIM FP,Sartorius Stedim Biotech,Yes,O,52,,,,,47,14,,"6,747","1,016","6,696,557.86",0.00,13.2,,,Kwesi Smith,,
FLRY3 BZ,Fleury Sa,,O,55,,,,,19,47,,"2,956","1,807","8,214,585.80",0.00,72.7,,,Richard Reznick,,
RHC AU,Ramsay Health Care Ltd,Yes,O,55,,,,,42,3,,"11,843","7,399","18,733,545.14",0.00,17.2,,,Tommy Sternberg,,
TMO,Thermo Fisher Scientific Inc,Yes,O,55,,,,,52,1,,"70,212","70,048","240,790,048.00",0.00,24.9,,,Tommy Sternberg,,
AFX GR,Carl Zeiss Meditec Ag,,O,57,,,,,56,5,,"4,410","1,801","8,801,489.92",0.00,44.4,,,Kwesi Smith,,
FRE GR,Fresenius Se & Co Kgaa,Yes,O,58,,,,,44,19,,"45,015","33,364","153,839,959.74",0.00,9.2,,,Tommy Sternberg,,
AMP IM,Amplifon Spa,,O,58,,,,,34,32,,"3,035","1,535","12,169,859.90",0.00,48.5,,,Richard Reznick,,
BIM FP,Biomerieux,,O,60,,,,,45,11,,"8,626","3,061","13,539,775.99",0.00,47.0,,,Kwesi Smith,,
STMN SW,Straumann Holding Ag,Yes,O,60,,,,,42,32,,"8,914","5,301","74,646,447.25",0.00,43.5,,,Kwesi Smith,,
FPH NZ,Fisher & Paykel Healthcare Corp Ltd,,O,60,,,,,44,9,,"4,683","4,659","8,591,130.64",0.00,40.6,,,Richard Reznick,,
145020 KS,Hugel Inc,,O,61,,,,,34,62,,"2,004","1,011","16,660,774.35",0.00,104.5,,,Richard Reznick,,
RICHT HB,Richter Gedeon Nyrt,,O,63,,,,,64,33,,"4,681","3,482","7,665,526.85",0.00,23.0,,,Kwesi Smith,,
COH AU,Cochlear Ltd,Yes,O,63,,,,,47,3,,"6,464","6,407","24,960,992.38",0.00,32.8,,,Kwesi Smith,,
DPH LN,Dechra Pharmaceuticals Plc,,O,63,,,,,33,39,,"2,230","2,208","7,508,245.49",0.00,36.9,,,Richard Reznick,,
BSX,Boston Scientific Corp,Yes,O,65,,,,,54,5,,"36,608","36,295","170,675,600.00",0.00,24.9,,,Tommy Sternberg,,
CSL AU,Csl Ltd,Yes,O,66,,,,,58,11,,"44,733","44,610","115,216,205.35",0.00,39.6,,,Tommy Sternberg,,
ERF FP,Eurofins Scientific Se,Yes,O,69,,,,,51,27,,"9,540","5,946","15,787,736.57",0.00,29.7,,,Kwesi Smith,,
GEN DC,Genmab A/s,Yes,O,70,,,,,31,65,,"13,139","13,004","69,022,024.63",0.00,35.7,,,Kwesi Smith,,
7747 JP,Asahi Intecc Co Ltd,,O,73,,,,,39,30,,"2,927","1,987","9,252,238.27",0.00,11.1,,,Richard Reznick,,
ORP FP,Orpea,,O,84,,,,,36,14,,"7,008","5,742","19,321,426.48",0.00,41.6,,,Kwesi Smith,,
SRT3 GR,Sartorius Ag,Yes,O,89,,,,,43,40,,"7,191","3,330","13,624,536.23",0.00,28.6,,,Kwesi Smith,,
NMC LN,Nmc Health Plc,,O,93,,,,,31,22,,"6,279","2,994","8,876,945.85",0.00,56.2,,,Richard Reznick,,
207940 KS,Samsung Biologics Co Ltd,Yes,O,99,,,,,,86,,"15,852","3,414","79,315,635.96",0.00,92.5,,,Tommy Sternberg,,
095700 KS,Genexine Co Ltd,,O,100,,,,,,,,657,418,"3,653,301.51",0.00,5.0,,,Richard Reznick,,
,,,,35,,,,,47,33,,,,,,34.7,,,,,
1801 JP,Taisei Corp,Yes,O,1,,,,,41,75,,"11,054","9,904","50,695,261.73",0.00,37.9,,,Alaina Anderson,,
6479 JP,Minebea Mitsumi Inc,,O,1,,,,,57,66,,"6,973","6,523","57,968,023.46",0.00,77.0,,,Anil Daka,,
GLTR LI,Globaltrans Investment Plc,,O,1,,,,,22,68,,"1,466","1,466","2,693,507.00",0.00,34.3,,,Taylor Cope,,
5393 JP,Nichias Corp,,O,2,,,,,75,55,,"1,575","1,391","6,780,529.78",0.00,27.7,,,Taylor Cope,,
KECI IN,Kec International Ltd,,O,4,,,,,15,71,,"1,148",651,"4,424,593.68",0.00,129.9,,,Bryan Shea,,
6412 TT,Chicony Power Technology Co Ltd,,O,4,,,,,26,16,,749,247,"2,983,076.72",0.00,38.3,,,Greg Scolaro,,
SAF FP,Safran Sa,Yes,O,8,,,,,59,37,,"40,643","34,166","150,397,233.18",0.00,31.8,,,Andrew Siepker,,
BA,Boeing Co/the,Yes,O,8,,,,,27,32,,"140,436","131,928","732,721,472.00",0.00,57.5,,,Andrew Siepker,,
RYA ID,Ryanair Holdings Plc,Yes,O,10,,,,,44,46,,"27,129","25,865","109,821,877.08",0.00,38.7,,,Andrew Siepker,,
OMAB MM,Grupo Aeroportuario Del Centro Norte Sab De Cv,,O,12,,,,,39,47,,"2,417","1,322","9,292,189.06",0.00,51.3,,,Anil Daka,,
LOOMB SS,Loomis Ab,,O,13,,,,,57,38,,"2,688","2,561","12,862,799.22",0.00,29.0,,,Taylor Cope,,
CCRO3 BZ,Ccr Sa,Yes,O,13,,,,,68,41,,"10,922","6,053","26,940,687.78",0.00,11.6,,,Andrew Siepker,,
CPA,Copa Holdings Sa,Yes,O,14,,,,,69,47,,"5,292","3,916","42,141,140.00",0.00,40.1,,,Anil Daka,,
APOG,Apogee Enterprises Inc,Yes,O,14,,,,,28,44,,"1,459","1,425","11,998,516.00",0.00,-1.6,,,Taylor Cope,,
KCHOL TI,Koc Holding As,Yes,O,15,,,,,42,70,,"12,233","4,610","33,535,641.32",0.00,21.2,,,Andrew Siepker,,
AENA SM,Aena Sa,,O,16,,,,,78,36,,"28,967","14,194","94,804,894.61",0.00,43.6,,,Andrew Siepker,,
NOEJ GR,Norma Group Se,Yes,O,16,,,,,72,12,,"1,950","1,892","10,882,002.79",0.00,44.0,,,Taylor Cope,,
EZJ LN,Easyjet Plc,Yes,O,16,,,,,63,58,,"6,779","4,484","82,611,267.71",0.00,42.6,,,Anil Daka,,
WSU GR,Washtec Ag,,O,16,,,,,56,67,,"1,130",784,"2,140,191.48",0.00,56.6,,,Taylor Cope,,
1537 TT,Kung Long Batteries Industrial Co Ltd,,O,18,,,,,43,38,,408,276,"1,445,670.52",0.00,9.8,,,Greg Scolaro,,
DSV DC,Dsv A/s,Yes,O,18,,,,,19,21,,"13,189","12,961","50,447,417.08",0.00,43.6,,,Anil Daka,,
GRIL IN,Graphite India Ltd,,O,19,,,,,2,89,,743,200,"3,746,034.64",0.00,183.3,,,Bryan Shea,,
MTX GR,Mtu Aero Engines Ag,Yes,O,19,,,,,40,24,,"7,520","7,417","40,372,689.93",0.00,28.8,,,Anil Daka,,
ITRK LN,Intertek Group Plc,,O,19,,,,,61,11,,"10,052","10,032","38,012,382.39",0.00,32.6,,,Anil Daka,,
FERG LN,Wolseley Plc,Yes,O,20,,,,,40,30,,"15,337","15,319","73,612,683.58",0.00,-3.0,,,Andrew Siepker,,
HON,Honeywell International Inc,Yes,O,20,,,,,68,2,,"105,019","104,694","333,510,464.00",0.00,19.3,,,Andrew Siepker,,
INDT SS,Indutrade Ab,Yes,O,21,,,,,23,19,,"2,969","2,187","5,517,011.61",0.00,23.8,,,Taylor Cope,,
BHE IN,Bharat Electronics Ltd,,O,21,,,,,24,46,,"6,103","1,642","10,223,012.45",0.00,37.9,,,Anil Daka,,
CNR CN,Canadian National Railway Co,Yes,O,22,,,,,39,2,,"60,171","60,084","165,677,937.41",0.00,1.6,,,Anil Daka,,
8341 TT,Sunny Friend Environmental Technology Co Ltd,,O,22,,,,,23,31,,639,323,"3,178,727.48",0.00,51.2,,,Greg Scolaro,,
RTN,Raytheon Co,Yes,O,22,,,,,63,2,,"51,688","51,589","236,134,432.00",0.00,22.4,,,Andrew Siepker,,
IJ SS,Intrum Justitia Ab,,O,23,,,,,60,53,,"4,006","3,777","27,689,269.54",0.00,-0.3,,,Daniel Hill,,
TTC,Toro Co/the,Yes,O,23,,,,,44,11,,"7,880","7,662","36,988,880.00",0.00,28.0,,,Taylor Cope,,
DOKA SW,Dormakaba Holding Ag,Yes,O,24,,,,,86,26,,"3,712","3,319","13,382,425.92",0.00,16.4,,,Taylor Cope,,
WKL NA,Wolters Kluwer Nv,,O,24,,,,,73,2,,"13,194","12,521","54,223,569.48",0.00,22.2,,,William Benton,,
SPX LN,Spirax-Sarco Engineering Plc,Yes,O,24,,,,,35,15,,"5,359","5,340","19,111,171.18",0.00,42.4,,,Anil Daka,,
GAPB MM,Grupo Aeroportuario Del Pacifico Sab De Cv,,O,24,,,,,26,30,,"6,259","3,864","8,900,117.98",0.00,40.7,,,Anil Daka,,
PHIA NA,Koninklijke Philips Nv,Yes,O,24,,,,,70,65,,"35,504","34,776","192,240,844.56",0.00,27.2,,,Tommy Sternberg,,
ULE LN,Ultra Electronics Holdings Plc,,O,25,,,,,73,12,,"1,898","1,836","13,092,404.53",0.00,17.8,,,Taylor Cope,,
STM GR,Stabilus Sa,,O,25,,,,,82,13,,"2,069","2,069","5,481,294.69",0.00,55.4,,,Taylor Cope,,
DPLM LN,Diploma Plc,Yes,O,25,,,,,56,2,,"1,536","1,519","2,780,831.76",0.00,9.5,,,Taylor Cope,,
HO FP,Thales Sa,Yes,O,25,,,,,39,16,,"23,765","11,683","51,685,022.41",0.00,15.6,,,Andrew Siepker,,
DG FP,Vinci Sa,Yes,O,25,,,,,79,4,,"53,972","50,702","196,334,663.69",0.00,32.1,,,Andrew Siepker,,
UNP,Union Pacific Corp,Yes,O,25,,,,,43,3,,"84,721","84,555","385,409,984.00",0.00,0.7,,,Anil Daka,,
IMA IM,Industria Macchine Automatiche Spa,Yes,O,27,,,,,47,19,,"3,782","1,277","10,909,171.24",0.00,61.4,,,Taylor Cope,,
WSO,Watsco Inc,Yes,O,27,,,,,43,10,,"5,317","4,460","40,222,216.00",0.00,3.6,,,Taylor Cope,,
6504 JP,Fuji Electric Co Ltd,,O,28,,,,,83,42,,"3,935","3,075","18,579,648.01",0.00,7.5,,,Anil Daka,,
SISE TI,Turkiye Sise Ve Cam Fabrikalari As,,O,28,,,,,29,57,,"2,688",928,"5,400,916.57",0.00,32.2,,,Taylor Cope,,
KARN SW,Kardex Ag,,O,28,,,,,36,57,,839,603,"3,223,894.19",0.00,19.8,,,Taylor Cope,,
EFX,Equifax Inc,Yes,O,31,,,,,48,1,,"17,213","16,992","73,152,152.00",0.00,23.4,,,Daniel Hill,,
IP IM,Interpump Group Spa,,O,32,,,,,15,48,,"3,086","2,405","11,667,331.84",0.00,86.4,,,Taylor Cope,,
6301 JP,Komatsu Ltd,Yes,O,32,,,,,42,62,,"24,821","23,716","102,704,151.62",0.00,18.4,,,Andrew Siepker,,
6098 JP,Recruit Holdings Co Ltd,Yes,O,32,,,,,16,62,,"32,817","21,853","90,181,976.53",0.00,30.8,,,William Benton,,
