SYMBOL,SECURITY,BMK WT,LDR,RTG,C,Q,V,E,M,G,VOL,ETMO,MC,FLT,ADTV,DAYS HELD,YTD PERF,P/E FY2,ROE,ANALYST,IM HOLD,
UHR VX,Swatch Group Ag/the-Br,0.07,Yes,N,76,43,81,91,32,39,34,,"21,316","11,525",13.66,0,27.8,,,Vivian Lin Thurston,,
UHRN SW,Swatch Group Ag/the-Reg,0.02,Yes,N,76,43,81,91,32,39,34,,"21,316","3,727",13.66,0,27.8,,,Vivian Lin Thurston,,
DEC FP,Jcdecaux Sa,0.01,Yes,N,76,49,83,63,77,48,27,,"7,069","2,474",10.43,0,24.4,23.7,,Drew Buckley,,
2702 JP,Mcdonald's Holdings Co Japan,0.02,,,77,78,99,3,10,20,99,,"5,914","2,889",22.75,0,54.2,28.1,,,,
REA AU,Rea Group Ltd,0.02,Yes,N,77,1,96,93,36,17,22,,"7,082","2,633",13.07,0,39.7,26.2,,Drew Buckley,,
1913 HK,Prada S.p.a.,0.01,Yes,N,77,39,73,95,68,67,38,Yes,"9,433","1,889",8.01,0,9.4,21.0,,Vivian Lin Thurston,,
7532 JP,Don Quijote Holdings Co Ltd,0.03,,N,78,58,81,58,76,62,9,,"5,708","4,067",20.96,0,-1.8,18.1,,Dan Su,,
TAH AU,Tabcorp Holdings Ltd,0.02,,,79,62,56,86,87,78,56,Yes,"2,777","2,770",20.91,0,2.7,16.9,,,,
4324 JP,Dentsu Inc,0.06,,N,79,67,44,92,76,60,28,Yes,"12,484","9,483",44.33,0,-0.7,14.1,,William Benton,,
TOD IM,Tod's Spa,0.01,,N,80,64,66,86,71,82,28,,"2,354",565,7.57,0,7.2,22.2,,Rita Spitz,,
7309 JP,Shimano Inc,0.07,Yes,N,81,21,98,86,76,58,47,Yes,"12,823","10,708",38.17,0,-6.4,24.7,,Vivian Lin Thurston,,
SPH SP,Singapore Press Holdings Ltd,0.02,,,82,57,60,86,99,90,48,Yes,"3,276","3,273",13.58,0,-12.2,20.0,,,,
9831 JP,Yamada Denki Co Ltd,0.02,,,82,86,22,93,79,53,53,Yes,"5,159","3,507",19.58,0,0.2,10.7,,,,
CWN AU,Crown Resorts Ltd,0.02,,,82,60,68,96,41,68,44,,"6,348","3,261",27.61,0,36.0,19.7,,,,
4755 JP,Rakuten Inc,0.06,Yes,N,82,76,58,79,71,42,72,,"17,331","9,831",67.84,0,24.4,21.2,,William Benton,,
ATCB NA,Altice Nv - B,0.01,,,83,81,80,54,44,,82,,"34,920","1,792",54.30,0,21.6,15.4,,,,
ATC NA,Altice Nv - A,0.09,,,83,81,80,54,44,,82,,"34,920","18,446",54.30,0,21.6,15.4,,,,
DUFN VX,Dufry Ag-Reg,0.03,,O,83,71,68,92,35,15,48,,"8,431","3,854",66.83,0,27.1,14.8,,Dan Su,,
LILAK,Liberty Global Plc Lilac - C,0.02,,,84,73,73,68,86,,,,"4,409","2,503",7.03,0,16.3,,,,,
LILA,Liberty Global Plc Lilac - A,0.01,,,84,73,73,68,86,,,,"4,409","1,113",7.03,0,16.3,,,,,
6753 JP,Sharp Corp,0.03,,,84,90,91,16,20,96,99,,"16,498","5,275",61.75,0,54.6,36.2,,,,
2136 HK,Lifestyle China Group Ltd,0.00,,,85,91,62,,63,27,,,588,284,0.23,0,73.8,,,,,
3099 JP,Isetan Mitsukoshi Holdings L,0.02,,,86,85,64,64,86,64,88,,"4,075","3,512",20.30,0,-9.2,28.9,,,,
2282 HK,Mgm China Holdings Ltd,0.01,,O,86,50,97,80,44,84,46,,"7,779","1,677",15.54,0,-3.7,19.3,,Vivian Lin Thurston,,
45 HK,Hongkong & Shanghai Hotels,0.01,,,87,94,83,31,21,84,49,,"2,637",763,7.90,0,58.5,26.7,,,,
DMP AU,Domino's Pizza Enterprises L,0.01,Yes,O,87,22,91,100,87,21,20,Yes,"3,047","2,045",24.26,0,-8.3,21.9,,Dan Su,,
VIV FP,Vivendi,0.15,,,88,88,83,51,58,39,59,,"29,128","18,703",159.41,0,25.0,23.2,,,,
VOW3 GR,Volkswagen Ag Non Vtg Prf Npv,0.17,,,88,94,46,78,68,32,68,Yes,"75,951","27,368",20.29,0,10.9,5.9,,,,
VOW GR,Volkswagen Ag,0.03,,,88,94,46,78,68,32,68,Yes,"75,951","4,865",20.29,0,10.9,5.9,,,,
OCDO LN,Ocado Group Plc,0.01,Yes,N,88,64,89,83,75,49,94,,"2,298","1,782",15.77,0,20.6,152.3,,Rita Spitz,,
69 HK,Shangri-La Asia Ltd,0.01,,,89,95,83,47,11,65,53,,"5,985","2,217",3.80,0,55.1,28.5,,,,
ZAL GR,Zalando Se,0.03,,N,90,50,95,95,70,53,85,Yes,"11,645","5,326",51.29,0,15.8,49.1,,Dan Su,,
YNAP IM,Yoox Net-A-Porter Group,0.01,Yes,N,94,79,89,87,83,34,57,Yes,"4,427","1,768",33.99,0,12.1,39.0,,Dan Su,,
8252 JP,Marui Group Co Ltd,0.02,,,95,97,86,40,76,42,56,,"3,315","2,889",17.17,0,-6.6,14.6,,,,
SCHA NO,Schibsted Asa-Cl A,0.01,,,97,76,99,84,85,13,74,Yes,"5,050","1,536",8.92,0,12.5,26.0,,,,
SCHB NO,Schibsted Asa-B Shs,0.01,,,97,76,99,84,85,13,74,Yes,"5,050","1,528",8.92,0,12.5,26.0,,,,
AC FP,Accor Sa,0.05,,,97,86,98,92,22,95,83,,"13,358","11,704",80.46,0,27.5,30.7,,,,
GENHK SP,Genting Hong Kong Ltd,0.00,,,99,100,64,97,46,1,99,Yes,"2,333",570,,,2.5,-6.5,,,,
HBC CN,Hudson's Bay Co,0.01,,,100,97,95,91,94,22,96,,"1,538","1,235",6.43,0,-25.2,-7.0,,,,
,,,,,47,36,58,51,53,53,27,,,,,,15,,,,,
ESSITYA SS,Essity Aktiebolag-A,0.00,,,,38,58,,,41,10,,"18,954",554,,,,17.0,,,,
ESSITYB SS,Essity Aktiebolag-B,0.10,,,,38,58,,,41,10,,"18,954","16,352",,,,17.0,,,,
288 HK,Wh Group Ltd,0.05,,N,5,18,14,25,44,,41,,"14,960","8,729",51.26,0,23.1,12.3,,Vivian Lin Thurston,,
BVIC LN,Britvic Plc,0.02,,N,7,19,35,11,44,69,9,,"2,546","2,538",15.37,0,33.9,14.6,,Rita Spitz,,
6808 HK,Sun Art Retail Group Ltd,0.01,Yes,O,8,7,39,4,82,48,25,,"9,118","1,978",9.39,0,-5.4,20.1,,Vivian Lin Thurston,,
LSG NO,Leroy Seafood Group Asa,0.01,,,10,46,20,3,60,73,60,,"3,923","1,630",4.68,0,7.0,9.8,,,,
CEC GR,Ceconomy Ag,0.01,,,11,32,7,46,67,98,87,,"3,631","2,374",63.39,0,1.1,14.0,,,,
3088 JP,Matsumotokiyoshi Holdings Co,0.02,,N,13,28,48,10,26,54,20,,"3,733","2,614",13.44,0,24.9,16.7,,Rita Spitz,,
2503 JP,Kirin Holdings Co Ltd,0.12,,,15,45,54,4,6,74,65,,"20,746","19,496",67.55,0,35.6,22.0,,,,
4452 JP,Kao Corp,0.18,Yes,O,16,17,59,21,21,57,12,,"30,497","29,617",102.24,0,30.1,22.2,,Vivian Lin Thurston,,
2587 JP,Suntory Beverage & Food Ltd,0.04,,N,18,18,59,23,25,61,42,,"14,821","5,970",24.40,0,20.4,26.4,,Vivian Lin Thurston,,
SALM NO,Salmar Asa,0.01,,NO,18,12,21,49,86,22,49,,"3,231","1,205",8.94,0,-9.4,9.9,,Quant Intl,,
SBRY LN,Sainsbury (J) Plc,0.03,,,19,65,3,40,67,55,24,,"6,638","6,350",49.84,0,7.7,11.0,,,,
ULVR LN,Unilever Plc,0.43,Yes,O,19,27,49,22,36,52,12,,"173,987","68,993",219.18,0,41.8,20.4,,Vivian Lin Thurston,,
DGE LN,Diageo Plc,0.50,Yes,O,19,13,73,6,57,64,3,,"83,074","83,022",208.19,0,24.2,20.2,,Vivian Lin Thurston,,
MHG NO,Marine Harvest,0.05,,N,19,22,17,70,66,37,68,,"9,772","8,078",62.24,0,7.3,11.5,,Vivian Lin Thurston,,
DIA SM,Distribuidora Internacional,0.02,Yes,N,19,14,33,50,58,96,28,,"4,039","3,956",56.05,0,49.0,12.3,,Rita Spitz,,
BOK LN,Booker Group Plc,0.03,,N,21,7,73,6,66,66,12,,"4,635","4,320",17.36,0,21.5,21.0,,Dan Su,,
BATS LN,British American Tobacco Plc,0.85,Yes,O,22,16,55,31,47,47,3,,"138,759","138,700",581.65,0,16.6,15.4,,Vivian Lin Thurston,,
AD NA,Koninklijke Ahold Delhaize N,0.15,Yes,N,22,7,16,71,90,46,11,Yes,"25,096","24,390",208.86,0,-0.2,11.5,,Vivian Lin Thurston,,
2914 JP,Japan Tobacco Inc,0.25,Yes,N,23,26,34,44,67,56,11,,"68,617","38,243",144.63,0,8.3,15.1,,Vivian Lin Thurston,,
ABF LN,Associated British Foods Plc,0.09,,N,23,26,71,7,54,40,6,,"32,313","14,529",55.30,0,15.0,23.3,,Vivian Lin Thurston,,
IMB LN,Imperial Brands Plc,0.24,,N,24,23,31,41,88,53,24,,"39,229","39,217",161.29,0,1.5,11.5,,Vivian Lin Thurston,,
UNA NA,Unilever Nv-Cva,0.57,Yes,O,24,32,61,17,26,48,12,,"174,007","100,963",79.44,0,43.2,20.2,,Vivian Lin Thurston,,
CCE,Coca-Cola European Partners,0.06,,N,25,35,43,23,56,50,7,,"21,096","9,550",43.64,0,39.5,16.5,,Vivian Lin Thurston,,
220 HK,Uni-President China Holdings,0.01,,N,26,28,67,5,81,27,68,,"3,808","1,122",4.02,0,13.3,26.4,,Dan Su,,
CCH LN,Coca-Cola Hbc Ag-Di,0.04,,N,26,39,67,11,12,36,11,,"12,163","6,125",33.28,0,39.4,22.0,,Vivian Lin Thurston,,
2206 JP,Ezaki Glico Co Ltd,0.02,,N,26,35,56,15,45,72,33,,"3,719","2,590",16.29,0,19.4,18.5,,Dan Su,,
4927 JP,Pola Orbis Holdings Inc,0.01,,O,26,19,77,20,27,31,38,,"7,113","3,706",26.87,0,36.2,30.0,,Dan Su,,
MRW LN,Wm Morrison Supermarkets,0.04,,,27,38,30,43,50,47,43,,"7,617","7,163",30.11,0,12.5,19.0,,,,
7956 JP,Pigeon Corp,0.02,,N,29,4,94,7,9,39,36,,"4,507","4,169",22.42,0,46.5,33.3,,Rita Spitz,,
HEIO NA,Heineken Holding Nv,0.06,,,30,30,39,65,26,53,7,,"27,864","9,201",15.65,0,41.5,20.1,,,,
SWMA SS,Swedish Match Ab,0.04,,N,30,1,45,60,65,52,7,,"6,341","5,575",42.55,0,17.1,16.2,,Dan Su,,
EMP/A CN,Empire Co Ltd 'A',0.02,,,31,49,46,9,66,22,73,,"4,707","2,953",10.36,0,20.9,16.3,,,,
ICA SS,Ica Gruppen Ab,0.02,,N,31,30,57,41,25,62,40,,"7,868","2,958",19.54,0,34.0,17.5,,Dan Su,,
FSF NZ,Fonterra Shareholders Fund,0.00,,,33,54,12,,76,33,,,"7,230",504,,,12.2,,,,,
3141 JP,Welcia Holdings Co Ltd,0.01,,,33,14,74,38,33,12,7,,"4,153","2,992",8.62,0,24.4,22.3,,,,
CCL AU,Coca-Cola Amatil Ltd,0.02,,N,33,18,29,72,92,77,10,,"4,801","3,329",23.14,0,-6.6,15.0,,Dan Su,,
4912 JP,Lion Corp,0.03,,O,34,21,83,35,15,42,40,,"5,848","4,843",27.34,0,28.8,29.2,,Dan Su,,
8113 JP,Unicharm Corp,0.06,Yes,N,35,25,80,20,36,40,23,,"14,923","9,306",36.95,0,16.8,26.7,,Vivian Lin Thurston,,
3382 JP,Seven & I Holdings Co Ltd,0.19,,N,36,37,40,45,63,11,15,,"35,843","29,700",81.20,0,7.1,17.3,,Vivian Lin Thurston,,
9989 JP,Sundrug Co Ltd,0.02,,N,37,10,73,37,61,60,4,,"5,538","3,126",9.62,0,8.2,19.0,,Rita Spitz,,
EMMN SW,Emmi Ag-Reg,0.01,,N,37,39,67,18,46,51,26,,"3,662","1,362",5.74,0,17.2,21.9,,Rita Spitz,,
HEN3 GR,Henkel Ag&co. Kgaa Non-Vtg Prf Npv,0.14,,N,38,30,63,40,44,50,10,,"55,292","23,481",17.84,0,20.4,16.9,,Vivian Lin Thurston,,
HEN GR,Henkel Ag & Co Kgaa,0.09,,N,38,30,63,40,44,50,10,,"55,292","12,222",17.84,0,20.4,16.9,,Vivian Lin Thurston,,
FR SP,First Resources Ltd,0.00,,,39,27,43,62,75,25,36,,"2,222",666,1.59,0,6.1,11.6,,,,
2296 JP,Itoham Yonekyu Holdings Inc,0.01,,,40,46,34,45,65,91,,,"2,730","1,360",2.86,0,1.3,15.5,,,,
WOW AU,Woolworths Ltd,0.17,,N,41,8,60,71,49,71,17,,"27,536","27,479",70.67,0,23.9,18.4,,Vivian Lin Thurston,,
BEI GR,Beiersdorf Ag,0.06,,N,43,20,86,37,32,64,5,,"26,576","10,374",65.15,0,27.9,25.2,,Vivian Lin Thurston,,
JMT PL,Jeronimo Martins,0.03,Yes,N,43,5,72,67,33,52,9,,"12,435","4,822",23.36,0,30.1,22.0,,Vivian Lin Thurston,,
2875 JP,Toyo Suisan Kaisha Ltd,0.02,,,44,30,44,70,66,93,3,,"4,083","3,288",10.91,0,4.2,19.3,,,,
2651 JP,Lawson Inc,0.02,Yes,N,44,8,57,67,82,93,26,,"6,890","3,206",21.47,0,-2.6,20.3,,Dan Su,,
322 HK,Tingyi (Cayman Isln) Hldg Co,0.01,,,46,31,50,61,71,38,44,,"7,305","2,377",12.34,0,5.5,26.2,,,,
2802 JP,Ajinomoto Co Inc,0.06,,N,46,54,61,13,59,58,33,,"11,331","11,023",40.58,0,7.5,18.2,,Vivian Lin Thurston,,
MRU CN,Metro Inc,0.05,,N,46,20,55,77,76,57,3,,"7,645","7,625",28.30,0,-2.3,15.2,,Dan Su,,
WES AU,Wesfarmers Ltd,0.23,,N,46,31,44,68,80,80,24,,"37,175","36,588",86.06,0,10.0,15.8,,Vivian Lin Thurston,,
COLR BB,Colruyt Sa,0.02,Yes,N,46,10,63,66,76,97,8,,"8,451","3,380",27.27,0,12.2,18.6,,Dan Su,,
3349 JP,Cosmos Pharmaceutical Corp,0.01,,N,46,13,95,14,43,52,19,,"4,402","2,123",17.41,0,16.3,23.7,,Rita Spitz,,
MFI CN,Maple Leaf Foods Inc,0.01,,,49,55,51,28,59,43,63,,"3,592","2,264",8.63,0,13.7,20.6,,,,
151 HK,Want Want China Holdings Ltd,0.02,Yes,N,49,6,52,86,77,95,20,Yes,"8,299","3,248",8.14,0,7.9,17.1,,Vivian Lin Thurston,,
WN CN,Weston (George) Ltd,0.02,,N,49,29,30,94,68,61,36,Yes,"11,162","4,096",19.34,0,-9.7,14.4,,Vivian Lin Thurston,,
FIVE LI,X 5 Retail Group Nv-Regs Gdr,0.02,,O,50,56,49,36,47,1,59,,"2,673","2,673",16.57,0,19.1,13.6,,Vivian Lin Thurston,,
2502 JP,Asahi Group Holdings Ltd,0.10,Yes,O,50,59,63,28,18,49,22,,"20,622","17,315",54.86,0,29.2,16.8,,Vivian Lin Thurston,,
2282 JP,Nh Foods Ltd,0.04,,N,51,59,56,36,27,76,43,,"6,227","6,031",27.73,0,11.4,16.1,,Dan Su,,
2593 JP,Ito En Ltd,0.01,,,52,34,68,64,35,45,28,,"3,432","1,892",9.72,0,12.2,30.8,,,,
25935 JP,Ito En Ltd Npv Prf Stock Type 1,0.00,,,52,34,68,64,35,45,28,,664,477,9.72,0,12.2,30.8,,,,
7649 JP,Sugi Holdings Co Ltd,0.01,,N,52,31,77,45,54,60,9,,"3,328","1,954",7.14,0,7.3,21.5,,Rita Spitz,,
2267 JP,Yakult Honsha Co Ltd,0.04,,,53,34,99,6,6,50,24,,"11,890","6,320",21.68,0,56.1,33.7,,,,
4967 JP,Kobayashi Pharmaceutical Co,0.02,,N,53,34,89,37,14,70,13,,"4,974","2,885",10.66,0,44.6,31.4,,Dan Su,,
NESN VX,Nestle Sa-Reg,1.63,Yes,O,53,12,81,72,39,81,8,,"264,642","262,968",949.82,0,20.9,21.7,,Vivian Lin Thurston,,
ARYN VX,Aryzta Ag,0.02,,N,53,63,24,54,80,96,64,,"3,007","2,875",52.39,0,-26.7,11.4,,Dan Su,,
HEIA NA,Heineken Nv,0.14,,N,54,34,73,63,30,57,5,,"59,357","16,186",100.60,0,39.5,20.3,,Vivian Lin Thurston,,
EBRO SM,Ebro Foods Sa,0.01,,,57,48,46,68,60,69,7,,"3,629","1,445",8.24,0,15.3,15.8,,,,
2002 JP,Nisshin Seifun Group Inc,0.03,,,57,47,57,68,36,62,3,,"5,139","4,011",11.65,0,10.6,25.7,,,,
CARLB DC,Carlsberg As-B,0.07,,N,57,36,46,92,38,46,12,,"17,266","12,034",54.95,0,28.6,20.5,,Vivian Lin Thurston,,
AXFO SS,Axfood Ab,0.01,,N,57,6,57,92,77,87,4,Yes,"3,689","1,807",10.48,0,11.4,19.2,,Dan Su,,
2212 JP,Yamazaki Baking Co Ltd,0.01,,N,57,31,53,81,81,71,11,,"4,212","2,648",11.51,0,3.3,23.3,,Dan Su,,
DFI SP,Dairy Farm Intl Hldgs Ltd,0.02,,,58,12,82,71,66,54,15,,"10,630","2,360",2.91,0,14.5,19.4,,,,
RB/ LN,Reckitt Benckiser Group Plc,0.36,Yes,N,58,31,71,72,57,49,5,,"66,185","60,090",213.96,0,14.8,19.6,,Vivian Lin Thurston,,
2269 JP,Meiji Holdings Co Ltd,0.07,,N,58,27,71,70,78,69,19,,"12,252","10,297",38.22,0,2.8,18.8,,Vivian Lin Thurston,,
2801 JP,Kikkoman Corp,0.03,,,60,31,87,38,67,73,8,,"6,705","4,650",18.14,0,-2.5,26.3,,,,
CO FP,Casino Guichard Perrachon,0.02,,,60,84,15,68,31,40,54,,"6,691","3,299",24.11,0,29.8,14.1,,,,
SZU GR,Suedzucker Ag,0.01,,,60,69,15,67,93,42,66,,"4,430","1,506",12.57,0,-9.7,14.2,,,,
ATD/B CN,Alimentation Couche-Tard -B,0.12,Yes,N,60,22,76,67,88,25,25,Yes,"27,524","19,759",70.54,0,-9.0,15.7,,Vivian Lin Thurston,,
L CN,Loblaw Companies Ltd,0.07,,N,60,38,52,81,73,53,29,Yes,"21,368","11,351",53.53,0,-10.5,14.5,,Vivian Lin Thurston,,
4922 JP,Kose Corp,0.02,,O,61,50,83,34,29,34,23,,"7,318","3,442",26.83,0,35.1,26.5,,Dan Su,,
2579 JP,Coca-Cola Bottlers Japan Inc,0.02,,N,61,56,42,76,51,24,57,,"7,065","4,501",23.37,0,3.8,26.1,,Dan Su,,
OR FP,L'oreal,0.31,Yes,O,61,21,80,90,39,74,1,,"117,931","52,089",187.24,0,15.1,25.3,,Vivian Lin Thurston,,
43 HK,Cp Pokphand Co Ltd,0.00,,,62,55,24,74,98,23,88,Yes,"2,122",571,0.77,0,-22.6,8.8,,,,
KYG ID,Kerry Group Plc-A,0.08,,N,63,29,79,77,49,54,3,,"16,349","14,083",30.54,0,23.5,21.3,,Vivian Lin Thurston,,
SAP CN,Saputo Inc,0.05,Yes,N,63,26,71,68,96,46,3,Yes,"13,200","8,793",36.28,0,-17.2,19.1,,Vivian Lin Thurston,,
3391 JP,Tsuruha Holdings Inc,0.03,,O,63,34,89,42,53,46,6,,"5,717","4,107",22.11,0,12.9,21.1,,Rita Spitz,,
RCO FP,Remy Cointreau,0.02,,,66,54,92,27,17,48,50,,"5,704","2,420",10.10,0,35.6,28.0,,,,
TATE LN,Tate & Lyle Plc,0.03,,N,66,57,38,80,79,87,30,Yes,"4,084","3,930",34.20,0,3.4,13.9,,Dan Su,,
PJC/A CN,Jean Coutu Group Inc-Class A,0.01,,N,67,11,90,74,72,95,26,,"3,214","1,325",4.49,0,-6.9,19.7,,Rita Spitz,,
4911 JP,Shiseido Co Ltd,0.10,,N,67,59,94,11,23,35,61,,"16,552","15,907",59.49,0,39.0,42.8,,Vivian Lin Thurston,,
2319 HK,China Mengniu Dairy Co,0.04,Yes,N,67,34,80,65,77,13,69,,"8,498","5,785",19.97,0,3.4,19.7,,Vivian Lin Thurston,,
2809 JP,Kewpie Corp,0.02,,N,67,44,55,84,72,60,14,,"3,723","2,505",17.73,0,5.0,19.8,,Dan Su,,
SON PL,Sonae,0.01,,,68,86,43,50,13,82,70,,"2,268","1,009",4.70,0,27.4,12.8,,,,
2229 JP,Calbee Inc,0.02,Yes,N,68,16,90,88,39,57,17,,"4,983","3,775",27.04,0,35.9,23.3,,Dan Su,,
ORK NO,Orkla Asa,0.05,,,70,47,57,91,52,39,55,,"10,422","7,111",27.37,0,17.6,20.3,,,,
8028 JP,Familymart Uny Holdings Co L,0.03,,N,70,31,68,90,85,13,58,Yes,"6,798","4,037",33.98,0,-14.9,23.3,,Dan Su,,
RI FP,Pernod Ricard Sa,0.18,,N,71,55,69,77,36,63,10,,"36,550","24,395",91.39,0,28.6,19.4,,Vivian Lin Thurston,,
PLT IM,Parmalat Spa,0.00,,,72,63,77,51,34,73,22,,"6,637","1,099",0.88,0,15.1,21.3,,,,
BN FP,Danone,0.28,,N,72,58,60,78,56,47,10,,"52,912","47,617",222.63,0,20.8,17.4,,Vivian Lin Thurston,,
CA FP,Carrefour Sa,0.08,,,73,59,29,95,83,83,66,Yes,"18,841","12,469",70.13,0,3.8,12.3,,,,
GLB ID,Glanbia Plc,0.02,,N,73,42,78,84,54,66,18,Yes,"5,596","3,706",13.01,0,22.8,17.2,,Dan Su,,
TSCO LN,Tesco Plc,0.12,,,74,76,34,69,87,35,50,Yes,"19,604","19,344",56.54,0,-11.0,14.6,,,,
LISP SW,Chocoladefabriken Lindt-Pc,0.04,Yes,N,75,28,95,69,64,36,5,,"15,305","5,884",14.50,0,11.8,32.5,,Vivian Lin Thurston,,
LISN VX,Chocoladefabriken Lindt-Reg,0.04,Yes,N,75,28,95,69,64,36,5,,"15,305","7,093",14.50,0,11.8,32.5,,Vivian Lin Thurston,,
KESKOB FH,Kesko Oyj-B Shs,0.02,,,76,68,40,90,69,44,31,Yes,"5,312","3,518",9.48,0,4.3,17.4,,,,
KESKOA FH,Kesko Oyj-A Shs,0.01,,,76,68,40,90,69,44,31,Yes,"5,312","1,616",9.48,0,4.3,17.4,,,,
2897 JP,Nissin Foods Holdings Co Ltd,0.03,,N,77,53,89,70,27,65,7,,"7,282","3,884",14.66,0,20.7,25.9,,Dan Su,,
ABI BB,Anheuser-Busch Inbev Sa/nv,0.54,Yes,O,79,64,82,54,75,27,30,,"234,709","92,693",262.06,0,16.7,22.8,,Vivian Lin Thurston,,
BARN SW,Barry Callebaut Ag-Reg,0.02,,,80,60,85,75,40,29,11,,"7,896","3,074",7.86,0,16.6,23.4,,,,
TWE AU,Treasury Wine Estates Ltd,0.05,,N,80,72,85,46,50,30,47,,"8,084","8,077",28.94,0,33.9,24.6,,Dan Su,,
OLAM SP,Olam International Ltd,0.01,,,82,93,42,40,89,56,25,,"4,217",970,0.61,0,6.0,14.1,,,,
AAK SS,Aak Ab,0.01,,,82,63,82,74,65,36,26,,"3,067","2,013",5.25,0,12.9,19.6,,,,
WIL SP,Wilmar International Ltd,0.03,,,86,88,43,81,84,49,60,Yes,"14,680","4,536",17.42,0,-0.4,11.8,,,,
8267 JP,Aeon Co Ltd,0.07,,,86,79,77,81,39,17,81,,"13,330","10,366",30.35,0,6.7,57.1,,,,
CPR IM,Davide Campari-Milano Spa,0.03,,,88,52,97,92,20,37,18,,"8,365","4,076",12.82,0,49.8,25.6,,,,
,,,,,65,52,50,65,88,52,68,,,,,,-5.6,,,,,
OMV AV,Omv Ag,0.05,,NO,4,19,24,14,26,75,83,,"18,160","12,394",34.53,0,65.6,12.9,,Quant Intl,,
SUBC NO,Subsea 7 Sa,0.02,,N,6,33,10,14,70,64,84,,"4,606","3,581",42.48,0,21.0,20.6,,Taylor Cope,,
5002 JP,Showa Shell Sekiyu Kk,0.01,,N,8,19,16,28,69,46,84,,"4,199","2,078",19.78,0,19.1,11.5,,William DeAllaume,,
CTX AU,Caltex Australia Ltd,0.04,,NO,15,6,19,43,88,70,41,,"6,755","6,258",27.70,0,14.5,14.8,,William DeAllaume,,
PFC LN,Petrofac Ltd,0.01,,N,17,17,2,90,100,75,79,Yes,"1,947","1,470",44.56,0,-42.2,6.4,,William DeAllaume,,
NESTE FH,Neste Oyj,0.03,,NO,19,21,23,48,87,81,51,,"10,533","4,827",43.08,0,16.8,13.4,,William DeAllaume,,
5020 JP,Jxtg Holdings Inc,0.10,,NO,22,55,7,33,80,71,76,,"16,981","16,125",65.90,0,7.1,8.1,,Quant Intl,,
SRG IM,Snam Spa,0.07,,,25,34,44,14,78,83,15,,"16,635","9,919",79.95,0,18.4,14.7,,,,
REP SM,Repsol Sa,0.12,,N,32,56,10,55,70,66,68,,"25,517","20,596",179.26,0,20.8,10.5,,William DeAllaume,,
STL NO,Statoil Asa,0.11,Yes,N,42,26,24,88,89,92,71,Yes,"60,812","17,815",99.63,0,3.9,17.1,,William DeAllaume,,
RDSB LN,Royal Dutch Shell Plc-B Shs,0.64,Yes,O,43,45,14,74,90,41,69,,"227,303","103,402",372.13,0,5.1,,,William DeAllaume,,
RDSA NA,Royal Dutch Shell Plc-A Shs,0.76,Yes,O,43,45,14,74,90,41,69,,"227,527","116,624",372.13,0,5.1,,,William DeAllaume,,
ENG SM,Enagas Sa,0.04,,,47,42,40,45,88,78,7,,"6,878","6,462",82.23,0,14.6,13.7,,,,
TRE SM,Tecnicas Reunidas Sa,0.01,,N,48,37,27,73,91,56,45,Yes,"1,876","1,050",26.00,0,-7.8,11.1,,Taylor Cope,,
FP FP,Total Sa,0.70,Yes,O,48,43,21,73,91,69,47,Yes,"129,087","128,536",558.30,0,0.9,12.0,,William DeAllaume,,
DLEN IT,Delek Energy Systems Ltd,0.00,,,49,12,68,,94,54,,,"2,619",308,0.25,0,4.4,,,,,
SOL AU,Washington H. Soul Pattinson,0.01,,,51,55,78,7,54,50,86,,"3,327","1,095",2.80,0,30.4,14.9,,,,
VPK NA,Vopak,0.02,,N,58,18,56,85,96,72,24,Yes,"5,597","2,853",37.00,0,3.3,14.7,,Anil Daka,,
SPM IM,Saipem Spa,0.01,,,59,60,11,80,98,71,92,Yes,"3,732","2,104",41.92,0,-27.9,17.8,,,,
AMFW LN,Amec Foster Wheeler Plc,0.01,,,62,67,37,41,92,53,75,,"2,103","2,090",18.65,0,1.3,7.8,,,,
GALP PL,Galp Energia Sgps Sa,0.05,,,63,48,60,54,84,60,75,,"13,614","8,121",36.79,0,7.0,20.2,,,,
LUPE SS,Lundin Petroleum Ab,0.02,,N,63,32,87,37,82,71,88,,"7,618","4,049",27.05,0,2.9,23.4,,William DeAllaume,,
WPL AU,Woodside Petroleum Ltd,0.11,,N,63,29,52,91,88,59,61,Yes,"19,784","17,074",64.00,0,5.4,18.3,,William DeAllaume,,
TRP CN,Transcanada Corp,0.27,,N,64,49,83,21,76,57,19,,"43,895","41,132",124.02,0,-1.0,19.2,,William DeAllaume,,
IPL CN,Inter Pipeline Ltd,0.04,,,66,60,43,,96,81,,,"6,882","6,845",,,-7.7,,,,,
5019 JP,Idemitsu Kosan Co Ltd,0.02,,NO,67,78,21,61,87,82,86,Yes,"5,116","3,483",55.31,0,-10.0,5.9,,Quant Intl,,
HSE CN,Husky Energy Inc,0.02,,,68,58,31,77,97,87,97,Yes,"11,516","3,504",22.37,0,-17.2,46.6,,,,
FTI FP,Technipfmc Plc,0.07,,N,70,60,60,45,91,,73,,"12,018","11,309",70.85,0,,,,William DeAllaume,,
ENI IM,Eni Spa,0.24,,,72,57,32,92,90,88,80,Yes,"56,463","38,957",377.10,0,-1.9,18.7,,,,
