SYMBOL,COMPANY,LDR,RTG,C,Q,V,E,M,G,VOL,ETMO,MC,FLT,ADTV,DAYS HELD,YTD PERF,P/E FY2,ROE,ANALYST,IM HOLD,
WES AU,Wesfarmers Ltd,,N,46,31,43,69,79,80,24,,"37,151","36,565",85.42,0,10.0,15.6,,Vivian Lin Thurston,,
SPP SJ,Spar Group Ltd/the,,N,46,17,47,69,97,56,34,,"2,539","2,324",11.93,0,-10.7,15.5,,Rita Spitz,,
MRU CN,Metro Inc,,N,46,20,55,78,72,57,3,,"7,715","7,695",28.36,0,-2.3,15.4,,Dan Su,,
2802 JP,Ajinomoto Co Inc,,N,46,54,61,13,60,58,33,,"11,297","10,990",40.24,0,7.5,18.3,,Vivian Lin Thurston,,
WN CN,George Weston Ltd,,N,47,29,30,94,60,62,36,,"11,080","4,066",19.42,0,-9.7,14.5,,Vivian Lin Thurston,,
COLR BB,Colruyt Sa,Yes,N,47,10,63,66,79,97,8,,"8,457","3,382",27.36,0,12.2,18.6,,Dan Su,,
TSN,Tyson Foods Inc,,N,47,55,27,35,93,58,28,,"25,407","18,326",165.87,0,2.9,12.1,,Dan Su,,
STZ,Constellation Brands Inc,Yes,N,48,38,82,16,49,29,29,,"38,436","31,425",247.44,0,27.6,21.9,,Vivian Lin Thurston,,
ORI SS,Oriflame Cosmetics Sa,,N,49,21,60,86,51,37,62,Yes,"2,021","1,080",6.54,0,30.4,16.4,,Rita Spitz,,
151 HK,Want Want China Holdings Ltd,Yes,N,49,6,52,85,77,95,20,Yes,"8,298","3,248",8.14,0,7.9,16.9,,Vivian Lin Thurston,,
MNST,Monster Beverage Corp,Yes,N,49,5,89,27,71,31,10,,"31,465","23,185",101.64,0,20.5,32.3,,Vivian Lin Thurston,,
EMMN SW,Emmi Ag,,N,50,39,65,45,48,53,26,,"4,018","1,495",5.76,0,17.2,21.5,,Rita Spitz,,
FIVE LI,X5 Retail Group Nv,,O,50,56,49,36,47,1,59,,"2,652","2,652",16.62,0,19.1,13.6,,Vivian Lin Thurston,,
HUVR IN,Hindustan Unilever Ltd,Yes,O,51,2,96,30,20,44,6,,"40,487","12,499",25.34,0,49.0,43.4,,Vivian Lin Thurston,,
2212 JP,Yamazaki Baking Co Ltd,,N,51,31,52,67,81,70,9,,"4,219","2,652",11.40,0,3.3,23.0,,Dan Su,,
2502 JP,Asahi Group Holdings Ltd,Yes,O,51,59,63,27,20,49,22,,"20,427","17,151",54.69,0,29.2,16.9,,Vivian Lin Thurston,,
2282 JP,Nh Foods Ltd,,N,51,59,56,35,25,75,43,,"6,204","6,009",27.76,0,11.4,16.2,,Dan Su,,
FEVR LN,Fevertree Drinks Plc,,O,52,8,100,3,9,26,82,,"3,636","2,916",26.92,0,99.8,63.4,,Rita Spitz,,
7649 JP,Sugi Holdings Co Ltd,,N,52,31,78,45,52,61,9,,"3,316","1,947",7.14,0,7.3,21.7,,Rita Spitz,,
051900 KS,Lg Household & Health Care Ltd,Yes,N,52,19,85,43,74,48,21,,"13,265","7,119",24.29,0,25.7,21.5,,Vivian Lin Thurston,,
NESN VX,Nestle Sa,Yes,O,53,12,81,72,40,82,8,,"263,500","261,834",953.14,0,20.9,21.9,,Vivian Lin Thurston,,
FEMSAUBD MM,Fomento Economico Mexicano Sab De Cv,Yes,O,53,29,67,60,69,38,16,,"33,985","21,890",25.41,0,33.5,22.9,,Vivian Lin Thurston,,
ATD/B CN,Alimentation Couche-Tard Inc,Yes,N,53,22,76,50,88,34,24,,"27,832","19,990",71.15,0,-9.0,15.5,,Vivian Lin Thurston,,
4967 JP,Kobayashi Pharmaceutical Co Ltd,,N,53,34,89,37,14,69,13,,"4,933","2,861",10.55,0,44.6,31.6,,Dan Su,,
CCOLA TI,Coca-Cola Icecek As,,O,53,36,60,58,68,28,69,,"2,912",756,5.08,0,29.6,19.7,,Dan Su,,
HEIA NA,Heineken Nv,,N,54,34,73,64,31,57,5,,"59,084","16,111",100.97,0,39.5,20.4,,Vivian Lin Thurston,,
ARYN VX,Aryzta Ag,,N,54,64,24,54,81,95,64,,"3,038","2,905",52.64,0,-26.7,11.5,,Dan Su,,
2815 JP,Ariake Japan Co Ltd,,N,55,26,97,32,7,37,12,,"2,314","1,265",5.42,0,34.8,26.5,,Rita Spitz,,
LALAB MM,Grupo Lala Sab De,Yes,N,56,42,73,29,78,58,23,,"4,499","1,025",4.02,0,36.8,17.9,,Dan Su,,
600132 CH,Chongqing Brewery Co Ltd,,N,56,10,80,83,33,23,34,,"1,700",640,11.16,0,42.5,25.9,,Bryan Shea,,
CARLB DC,Carlsberg A/s,,N,57,36,46,92,40,46,11,,"16,993","11,841",54.37,0,28.6,20.3,,Vivian Lin Thurston,,
027410 KS,Bgf Retail Co Ltd,Yes,N,57,9,67,87,69,28,27,Yes,"3,880","2,039",28.95,0,23.2,18.5,,Dan Su,,
AXFO SS,Axfood Ab,,N,57,6,57,93,75,87,4,Yes,"3,663","1,795",10.34,0,11.4,19.2,,Dan Su,,
600197 CH,Xinjiang Yilite Industry Co Ltd,,N,57,5,79,76,59,28,33,,"1,386",632,25.31,0,39.3,20.6,,Rita Spitz,,
UNVR IJ,Unilever Indonesia Tbk Pt,Yes,O,58,3,98,15,62,45,4,,"28,177","4,229",5.85,0,27.2,45.7,,Vivian Lin Thurston,,
600872 CH,Jonjee High-Tech Industrial And Commercial Holding Co Ltd,,N,58,34,93,14,66,8,57,,"2,549","1,876",21.13,0,36.2,27.8,,Rita Spitz,,
TVO TB,Thai Vegetable Oil Pcl,,N,58,39,34,83,91,94,81,Yes,736,236,2.39,0,-15.6,13.1,,Bryan Shea,,
AC* MM,Arca Continental Sab De Cv,Yes,O,58,32,63,80,54,45,21,,"13,416","3,226",11.52,0,47.1,19.3,,Vivian Lin Thurston,,
2269 JP,Meiji Holdings Co Ltd,,N,59,27,71,71,79,68,19,,"12,291","10,329",38.29,0,2.8,18.9,,Vivian Lin Thurston,,
L CN,Loblaw Cos Ltd,,N,59,38,53,81,64,53,29,,"21,396","11,366",53.78,0,-10.5,14.7,,Vivian Lin Thurston,,
GNC LN,Greencore Group Plc,Yes,O,59,65,34,43,84,57,22,,"1,976","1,969",18.65,0,-1.2,12.0,,Rita Spitz,,
THBEV SP,Thai Beverage Pcl,Yes,O,60,25,82,60,75,28,20,,"16,968","5,471",14.21,0,22.4,19.5,,Vivian Lin Thurston,,
RB/ LN,Reckitt Benckiser Group Plc,Yes,N,60,30,71,75,59,48,4,,"66,200","60,103",216.06,0,14.8,19.4,,Vivian Lin Thurston,,
139480 KS,E-Mart Inc,,O,61,80,46,32,23,16,28,,"5,532","3,458",19.61,0,47.0,12.7,,Dan Su,,
MGROS TI,Migros Ticaret As,,O,61,67,42,75,13,1,69,,"1,499",523,3.14,0,69.9,31.8,,Bryan Shea,,
4922 JP,Kose Corp,,O,61,49,83,34,30,33,23,,"7,275","3,422",26.68,0,35.1,26.4,,Dan Su,,
SHP SJ,Shoprite Holdings Ltd,Yes,N,61,27,79,71,66,42,8,,"9,861","6,272",24.78,0,26.3,17.0,,Vivian Lin Thurston,,
2579 JP,Coca-Cola Bottlers Japan Inc,,N,61,56,42,76,52,24,57,,"6,983","4,449",23.28,0,3.8,26.0,,Dan Su,,
OR FP,L'oreal Sa,Yes,O,62,20,80,90,42,72,1,Yes,"116,702","51,546",187.21,0,15.1,25.1,,Vivian Lin Thurston,,
8436 TT,Tci Co Ltd,,O,62,31,80,73,43,22,31,,500,383,5.60,0,39.9,17.8,,Bryan Shea,,
INDF IJ,Indofood Sukses Makmur Tbk Pt,,N,62,41,42,92,66,44,25,Yes,"5,478","2,735",5.73,0,12.8,15.4,,Dan Su,,
CLS SJ,Clicks Group Ltd,Yes,O,63,8,96,55,42,26,5,,"2,749","2,470",5.52,0,38.4,25.8,,Rita Spitz,,
SAP CN,Saputo Inc,Yes,N,63,26,71,69,96,46,3,Yes,"13,309","8,866",36.55,0,-17.2,19.3,,Vivian Lin Thurston,,
MERS QD,Al Meera Consumer Goods Co Qsc,,N,63,32,43,90,94,85,44,Yes,827,591,3.21,0,-8.9,15.5,,Bryan Shea,,
3391 JP,Tsuruha Holdings Inc,,O,63,34,89,42,51,46,6,,"5,687","4,086",22.01,0,12.9,21.1,,Rita Spitz,,
KYG ID,Kerry Group Plc,,N,63,29,79,78,52,54,3,,"16,171","13,930",30.63,0,23.5,21.2,,Vivian Lin Thurston,,
MDIA3 BZ,M Dias Branco Sa,,N,64,27,86,66,61,29,34,,"5,077","1,861",8.48,0,37.0,15.5,,Dan Su,,
2201 JP,Morinaga & Co Ltd/japan,,N,65,33,82,81,21,30,56,,"3,020","2,307",22.62,0,39.6,21.8,,Rita Spitz,,
MGNT RM,Magnit Pjsc,Yes,O,65,31,66,77,91,59,50,,"15,315","9,774",14.51,0,-9.2,13.6,,Vivian Lin Thurston,,
MARR IM,Marr Spa,,N,65,36,85,73,17,71,12,,"1,672",829,2.33,0,44.3,20.9,,Rita Spitz,,
004370 KS,Nongshim Co Ltd,,O,65,65,38,65,73,96,39,,"1,781",778,5.22,0,3.1,17.5,,Rita Spitz,,
GRUMAB MM,Gruma Sab De Cv,,N,66,26,71,80,92,56,52,Yes,"6,243","2,973",10.95,0,10.7,16.9,,Dan Su,,
TATE LN,Tate & Lyle Plc,,N,66,57,38,80,78,87,30,Yes,"4,109","3,954",34.69,0,3.4,14.0,,Dan Su,,
2229 JP,Calbee Inc,Yes,N,66,16,90,84,38,55,16,,"4,885","3,701",26.52,0,35.9,24.0,,Dan Su,,
2809 JP,Kewpie Corp,,N,67,44,55,85,73,59,14,,"3,706","2,494",17.64,0,5.0,19.8,,Dan Su,,
ABEV3 BZ,Ambev Sa,Yes,O,67,5,86,82,75,68,36,,"98,492","27,249",74.16,0,21.8,22.3,,Vivian Lin Thurston,,
PJC/A CN,Jean Coutu Group Pjc Inc/the,,N,67,11,90,74,69,95,26,,"3,202","1,320",4.53,0,-6.9,19.6,,Rita Spitz,,
4911 JP,Shiseido Co Ltd,,N,67,59,94,10,25,32,61,,"16,735","16,083",59.52,0,39.0,42.9,,Vivian Lin Thurston,,
ICBP IJ,Indofood Cbp Sukses Makmur Tbk Pt,,N,67,11,77,89,85,38,6,Yes,"7,626","1,485",3.51,0,1.7,23.9,,Dan Su,,
2319 HK,China Mengniu Dairy Co Ltd,Yes,N,67,34,80,65,77,13,69,,"8,497","5,785",19.97,0,3.4,19.2,,Vivian Lin Thurston,,
007070 KS,Gs Retail Co Ltd,,O,68,41,52,92,69,76,54,Yes,"2,767",776,13.85,0,9.8,15.7,,Dan Su,,
HMSP IJ,Hanjaya Mandala Sampoerna Tbk Pt,Yes,N,68,1,89,71,87,48,17,Yes,"31,470","2,360",5.27,0,-0.9,30.4,,Vivian Lin Thurston,,
DNP PW,Dino Polska Sa,,N,69,46,92,31,,4,,,"1,361","1,361",2.07,0,53.1,20.7,,Bryan Shea,,
RRHI PM,Robinsons Retail Holdings Inc,,O,69,41,92,34,60,33,18,,"2,378",954,1.73,0,16.0,20.5,,Bryan Shea,,
ULKER TI,Ulker Biskuvi Sanayi As,Yes,O,69,52,74,51,69,14,74,,"2,114","1,503",4.39,0,32.2,17.5,,Bryan Shea,,
BIMBOA MM,Grupo Bimbo Sab De Cv,Yes,N,70,30,64,90,92,15,52,,"11,645","3,825",6.74,0,12.1,21.0,,Vivian Lin Thurston,,
8028 JP,Familymart Uny Holdings Co Ltd,,N,70,31,69,89,84,13,58,,"6,854","4,070",34.19,0,-14.9,23.5,,Dan Su,,
DCP SJ,Dis-Chem Pharmacies Ltd,Yes,O,70,9,98,52,56,6,20,,"1,962",465,2.19,0,32.5,25.7,,Rita Spitz,,
KER PW,Kernel Holding Sa,,N,70,76,24,75,84,86,75,Yes,"1,386",858,0.71,0,15.3,6.5,,Bryan Shea,,
PIK SJ,Pick N Pay Stores Ltd,,N,70,23,79,85,92,29,48,,"2,403","1,492",6.95,0,4.2,18.9,,Rita Spitz,,
JBSS3 BZ,Jbs Sa,Yes,N,71,71,20,82,95,3,85,Yes,"6,952","2,472",45.56,0,-30.3,6.1,,Vivian Lin Thurston,,
3549 JP,Kusuri No Aoki Co Ltd,,N,72,37,94,,42,51,4,,"1,857",630,6.32,0,23.9,,,Rita Spitz,,
KIMBERA MM,Kimberly-Clark De Mexico Sab De Cv,Yes,N,72,25,70,95,88,55,22,Yes,"6,400","3,002",6.34,0,14.1,21.2,,Dan Su,,
GLB ID,Glanbia Plc,,N,72,42,77,83,52,67,18,,"5,820","3,854",13.03,0,22.8,16.9,,Dan Su,,
BN FP,Danone Sa,,N,72,58,60,78,57,48,10,,"52,733","47,456",223.27,0,20.8,17.5,,Vivian Lin Thurston,,
RI FP,Pernod Ricard Sa,,N,72,55,69,78,39,63,10,,"36,534","24,384",90.79,0,28.6,19.4,,Vivian Lin Thurston,,
ITC IN,Itc Ltd,Yes,O,74,2,90,96,35,44,4,,"53,712","29,367",78.72,0,29.5,25.7,,Vivian Lin Thurston,,
AGRO,Adecoagro Sa,Yes,O,75,65,33,92,84,2,82,Yes,"1,198","1,188",7.80,0,-3.5,14.4,,Rita Spitz,,
9627 JP,Ain Holdings Inc,,N,76,10,85,99,43,9,25,Yes,"2,477","1,692",11.19,0,8.4,22.6,,Richard Reznick,,
MRCO IN,Marico Ltd,,N,76,9,99,81,31,44,26,,"6,341","2,209",7.06,0,36.0,38.4,,Dan Su,,
CLGT IN,Colgate-Palmolive India Ltd,Yes,N,76,9,99,73,37,42,23,,"4,601","1,999",6.18,0,25.6,38.3,,Dan Su,,
LISN VX,Chocoladefabriken Lindt & Spruengli Ag,Yes,N,76,28,95,69,68,36,5,,"15,332","7,107",14.49,0,11.8,32.5,,Vivian Lin Thurston,,
2897 JP,Nissin Foods Holdings Co Ltd,,N,76,53,89,68,26,65,7,,"7,223","3,852",14.79,0,20.7,25.8,,Dan Su,,
291 HK,China Resources Beer Holdings Co Ltd,,N,77,47,77,86,62,33,49,,"8,240","3,959",10.89,0,27.7,25.4,,Dan Su,,
GCPL IN,Godrej Consumer Products Ltd,,O,77,34,94,86,30,34,20,,"9,415","3,207",13.06,0,48.6,35.4,,Dan Su,,
CPALL TB,Cp All Pcl,Yes,O,77,42,92,58,73,10,24,,"16,548","8,223",24.51,0,6.6,24.0,,Vivian Lin Thurston,,
KLK MK,Kuala Lumpur Kepong Bhd,,O,78,71,72,63,49,88,31,,"6,045","1,607",6.57,0,10.0,21.4,,Taylor Cope,,
NEST IN,Nestle India Ltd,Yes,N,79,1,99,76,50,28,35,,"9,929","3,199",4.78,0,19.7,43.7,,Vivian Lin Thurston,,
BRIT IN,Britannia Industries Ltd,Yes,O,79,11,100,63,37,22,33,,"7,861","3,537",9.55,0,44.0,41.3,,Dan Su,,
EUR PW,Eurocash Sa,,N,80,36,73,94,96,42,63,,"1,390",736,4.18,0,6.2,22.6,,Bryan Shea,,
PFG SJ,Pioneer Foods Group Ltd,,N,80,38,70,95,95,68,72,Yes,"2,294","1,074",3.62,0,-1.8,14.6,,Rita Spitz,,
ABI BB,Anheuser-Busch Inbev Sa/nv,Yes,O,80,64,81,54,79,27,30,,"236,439","93,376",262.08,0,16.7,22.8,,Vivian Lin Thurston,,
TWE AU,Treasury Wine Estates Ltd,,N,80,73,85,46,50,30,47,,"8,083","8,076",28.92,0,33.9,24.5,,Dan Su,,
MPPA IJ,Matahari Putra Prima Tbk Pt,,N,80,72,28,92,97,74,94,Yes,294,70,0.44,0,-56.6,20.9,,Bryan Shea,,
URC PM,Universal Robina Corp,Yes,N,81,40,87,84,90,30,57,Yes,"6,494","2,862",5.26,0,-2.0,24.9,,Vivian Lin Thurston,,
CBG TB,Carabao Group Pcl,,N,81,31,99,51,82,37,48,,"2,015",513,8.56,0,1.9,32.9,,Rita Spitz,,
DABUR IN,Dabur India Ltd,,N,81,9,100,75,57,45,18,,"8,270","3,679",7.42,0,18.5,32.9,,Vivian Lin Thurston,,
1115 HK,Tibet Water Resources Ltd,,N,82,57,91,,83,39,,,972,824,1.03,0,-8.1,,,Bryan Shea,,
1377 JP,Sakata Seed Corp,,N,83,73,76,83,32,33,51,,"1,513","1,013",7.00,0,9.6,21.3,,Rita Spitz,,
CENCOSUD CI,Cencosud Sa,,N,83,86,61,46,87,72,63,,"8,572","4,133",11.15,0,4.0,17.2,,Vivian Lin Thurston,,
EFOODS PA,Engro Foods Ltd,,N,84,28,94,92,90,84,84,Yes,663,86,0.64,0,-33.0,47.0,,Bryan Shea,,
PGOLD PM,Puregold Price Club Inc,,O,85,68,90,60,69,39,3,,"2,584",843,1.60,0,19.9,19.4,,Bryan Shea,,
HMN IN,Emami Ltd,,N,85,11,99,93,70,23,55,,"3,904",535,3.36,0,23.6,36.0,,Bryan Shea,,
LNTA LI,Lenta Ltd,,N,86,70,52,91,97,1,59,,586,586,2.97,0,-26.8,10.9,,Dan Su,,
CUERVO* MM,Becle Sab De Cv,,N,89,56,93,92,,26,,,"6,606",991,6.23,0,,26.0,,Bryan Shea,,
TKN TB,Taokaenoi Food & Marketing Pcl,,N,90,45,97,86,90,71,34,Yes,805,190,4.68,0,-18.8,25.3,,Bryan Shea,,
090430 KS,Amorepacific Corp,Yes,N,90,26,93,100,93,52,44,Yes,"14,436","6,748",37.60,0,-2.6,26.1,,Vivian Lin Thurston,,
RADL3 BZ,Raia Drogasil Sa,Yes,O,92,39,100,90,71,4,49,Yes,"7,454","5,150",24.99,0,15.7,32.2,,Dan Su,,
TU TB,Thai Union Group Pcl,,N,93,82,61,99,85,44,54,Yes,"2,755","1,310",4.66,0,5.0,14.0,,Rita Spitz,,
ELF,Elf Beauty Inc,,N,96,86,100,21,75,23,62,,893,421,15.04,0,-11.0,38.2,,Rita Spitz,,
MANB IN,Manpasand Beverages Ltd,,N,98,54,100,90,48,3,56,,731,261,1.42,0,54.7,32.4,,Bryan Shea,,
BRFS3 BZ,Brf Sa,Yes,N,98,83,88,99,97,54,94,Yes,"10,763","8,851",42.19,0,-20.8,20.5,,Vivian Lin Thurston,,
PRMW,Primo Water Corp,,SS,98,95,88,81,82,,96,Yes,354,316,2.67,0,6.4,37.4,,Henry Baby,,
192820 KS,Cosmax Inc,,N,100,99,93,83,90,28,87,Yes,"1,041",644,11.75,0,-1.8,22.0,,Rita Spitz,,
161890 KS,Korea Kolmar Co Ltd,,N,100,87,94,100,84,30,54,Yes,"1,239",679,10.80,0,20.7,19.8,,Rita Spitz,,
,,,,50,39,45,61,80,47,69,,,,,,2.5,,,,,
BHGE,Baker Hughes A Ge Co,,N,,,,,,,,,"37,435","13,960",148.66,0,,,,William DeAllaume,,
MOH GA,Motor Oil Hellas Corinth Refineries Sa,,N,1,13,2,3,23,86,84,,"2,493","1,477",1.86,0,67.2,9.2,,Bryan Shea,,
1088 HK,China Shenhua Energy Co Ltd,,N,2,13,8,13,45,49,64,,"48,791","8,337",59.21,0,52.9,9.7,,William DeAllaume,,
SNG RO,Societatea Nationala De Gaze Naturale Romgaz Sa,,N,2,7,6,22,42,48,32,,"3,104",931,1.35,0,55.8,8.3,,Bryan Shea,,
TOP TB,Thai Oil Pcl,,NO,2,31,7,7,49,86,71,,"5,553","1,743",13.00,0,32.3,10.8,,Quant Intl,,
PGN PW,Polskie Gornictwo Naftowe I Gazownictwo Sa,,N,4,20,14,12,56,33,80,,"10,395","2,923",4.74,0,39.2,11.1,,William DeAllaume,,
TUPRS TI,Tupras Turkiye Petrol Rafinerileri As,,O,4,34,12,12,23,32,84,,"8,249","4,042",28.32,0,63.3,9.5,,William DeAllaume,,
MOL HB,Mol Hungarian Oil & Gas Plc,,N,5,20,17,19,54,78,74,,"9,289","4,533",7.34,0,24.4,8.2,,William DeAllaume,,
OMV AV,Omv Ag,,NO,5,19,24,15,26,75,83,,"17,832","12,170",34.69,0,65.6,12.9,,Quant Intl,,
IOCL IN,Indian Oil Corp Ltd,,N,6,21,12,30,63,64,74,,"32,044","4,535",39.05,0,25.3,10.0,,William DeAllaume,,
PKN PW,Polski Koncern Naftowy Orlen Sa,,N,6,16,7,61,36,82,86,,"12,671","9,184",22.82,0,48.0,10.7,,William DeAllaume,,
SUBC NO,Subsea 7 Sa,,N,7,33,10,15,71,64,85,,"4,609","3,583",42.59,0,21.0,21.2,,Taylor Cope,,
PTT TB,Ptt Pcl,,NO,7,19,9,37,82,40,34,,"33,674","13,072",45.30,0,15.0,10.3,,William DeAllaume,,
386 HK,China Petroleum & Chemical Corp,,NO,7,15,2,75,78,73,49,Yes,"104,553","18,242",63.27,0,10.6,10.6,,William DeAllaume,,
5002 JP,Showa Shell Sekiyu Kk,,N,8,19,16,29,71,46,84,,"4,122","2,039",19.71,0,19.1,11.5,,William DeAllaume,,
UNTR IJ,United Tractors Tbk Pt,Yes,N,10,4,44,10,48,30,45,,"8,261","3,346",7.55,0,41.6,13.7,,Anil Daka,,
135 HK,Kunlun Energy Co Ltd,,N,11,23,23,32,55,19,50,,"7,777","2,950",10.95,0,31.2,11.6,,William DeAllaume,,
HPCL IN,Hindustan Petroleum Corp Ltd,,N,11,27,16,30,64,77,80,,"10,685","5,002",32.67,0,42.5,10.6,,William DeAllaume,,
VLO,Valero Energy Corp,,N,13,18,9,69,77,52,69,,"28,964","28,877",253.65,0,-0.3,11.9,,William DeAllaume,,
LTS PW,Grupa Lotos Sa,,N,14,47,7,41,42,47,89,,"2,639","1,235",4.28,0,47.1,9.3,,Quant Intl,,
ADRO IJ,Adaro Energy Tbk Pt,,N,14,28,26,18,79,50,67,,"4,459","1,909",4.26,0,10.0,12.2,,William DeAllaume,,
CTX AU,Caltex Australia Ltd,,NO,15,6,18,42,90,69,41,,"6,758","6,260",27.73,0,14.5,14.8,,William DeAllaume,,
PTTEP TB,Ptt Exploration & Production Pcl,,NO,15,26,9,54,91,42,53,Yes,"10,209","2,707",20.68,0,0.6,11.9,,William DeAllaume,,
BPCL IN,Bharat Petroleum Corp Ltd,Yes,N,16,20,34,29,77,61,58,,"17,263","5,829",31.77,0,24.6,10.6,,William DeAllaume,,
6505 TT,Formosa Petrochemical Corp,,N,17,2,31,33,80,43,79,,"32,387","4,028",14.29,0,6.0,18.0,,William DeAllaume,,
ONGC IN,Oil & Natural Gas Corp Ltd,,N,18,12,5,83,97,53,37,Yes,"31,907","4,168",20.87,0,-7.9,7.8,,William DeAllaume,,
PFC LN,Petrofac Ltd,,N,18,17,2,91,100,75,79,Yes,"1,964","1,483",44.93,0,-42.2,6.7,,William DeAllaume,,
NESTE FH,Neste Oyj,,NO,19,21,23,49,87,80,51,,"10,521","4,821",43.20,0,16.8,13.3,,William DeAllaume,,
5020 JP,Jxtg Holdings Inc,,NO,22,55,7,32,82,70,76,,"16,702","15,860",65.50,0,7.1,8.1,,Quant Intl,,
096770 KS,Sk Innovation Co Ltd,,N,23,40,3,88,75,58,76,Yes,"14,230","7,804",44.49,0,29.9,7.3,,William DeAllaume,,
DEHB MK,Dayang Enterprise Holdings Bhd,,N,24,33,27,30,85,11,57,,197,50,0.19,0,9.1,11.1,,Greg Scolaro,,
TGSU2 AR,Transportadora De Gas Del Sur Sa,,N,24,12,59,44,23,1,74,,"2,900",696,0.81,0,59.6,8.0,,Greg Scolaro,,
SHLPH PM,Pilipinas Shell Petroleum Corp,,N,27,19,30,59,90,80,68,Yes,"2,063",596,1.96,0,-4.4,13.6,,Greg Scolaro,,
TGS NO,Tgs Nopec Geophysical Co Asa,,NO,28,5,41,38,93,19,74,,"2,056","1,757",14.65,0,-3.7,20.3,,Taylor Cope,,
PLNG IN,Petronet Lng Ltd,Yes,O,32,5,52,54,62,31,44,,"5,359","2,679",27.66,0,16.5,16.1,,William DeAllaume,,
REP SM,Repsol Sa,,N,32,56,10,54,71,66,68,,"25,462","20,551",180.17,0,20.8,10.5,,William DeAllaume,,
OGDC PA,Oil & Gas Development Co Ltd,,N,33,18,21,87,86,62,22,Yes,"5,951",891,4.74,0,-6.5,8.8,,Greg Scolaro,,
SRS IM,Saras Spa,,N,36,65,19,42,35,73,90,,"2,172","1,041",14.07,0,31.4,11.5,,Quant Intl,,
OKE,Oneok Inc,,N,39,27,52,42,84,64,71,,"20,099","19,982",232.47,0,0.6,24.9,,William DeAllaume,,
MPC,Marathon Petroleum Corp,,N,40,27,61,51,50,48,55,,"25,146","25,051",205.74,0,10.7,14.2,,William DeAllaume,,
STL NO,Statoil Asa,Yes,N,41,26,24,87,90,92,71,Yes,"61,029","17,901",99.52,0,3.9,16.9,,William DeAllaume,,
RDSA NA,Royal Dutch Shell Plc,Yes,O,42,45,14,73,90,40,69,,"226,032","116,400",370.49,0,5.1,,,William DeAllaume,,
PETR3 BZ,Petroleo Brasileiro Sa,Yes,O,43,58,18,29,97,60,76,,"58,302","12,250",31.34,0,-16.8,9.9,,William DeAllaume,,
ECOPETL CB,Ecopetrol Sa,,N,46,26,13,99,80,21,79,,"18,867","1,764",4.57,0,2.9,8.1,,William DeAllaume,,
FP FP,Total Sa,Yes,O,48,43,22,72,91,68,47,Yes,"127,785","127,240",556.64,0,0.9,12.1,,William DeAllaume,,
TRE SM,Tecnicas Reunidas Sa,,N,49,37,28,73,93,56,45,Yes,"1,870","1,047",25.92,0,-7.8,11.1,,Taylor Cope,,
883 HK,Cnooc Ltd,Yes,O,53,29,21,88,100,77,74,Yes,"51,796","18,416",70.12,0,-8.4,13.0,,William DeAllaume,,
YPFD AR,Ypf Sa,,O,54,35,55,70,66,55,85,,"7,979","3,504",1.80,0,27.3,50.6,,William DeAllaume,,
OII,Oceaneering International Inc,Yes,N,56,22,52,82,96,72,85,Yes,"2,213","2,188",35.49,0,-8.0,248.1,,William DeAllaume,,
VPK NA,Koninklijke Vopak Nv,,N,58,17,56,84,97,72,24,Yes,"5,631","2,870",36.55,0,3.3,14.8,,Anil Daka,,
EFX CN,Enerflex Ltd,,O,59,58,35,65,73,10,64,,"1,090","1,081",4.34,0,-2.3,11.1,,Taylor Cope,,
UGPA3 BZ,Ultrapar Participacoes Sa,Yes,O,59,25,61,86,79,51,35,,"12,642","9,663",31.78,0,12.8,21.4,,William DeAllaume,,
TRP CN,Transcanada Corp,,N,63,49,83,20,76,57,19,,"43,486","40,749",125.05,0,-1.0,19.2,,William DeAllaume,,
XOM,Exxon Mobil Corp,Yes,N,63,31,55,73,99,53,62,Yes,"325,156","324,251",915.11,0,-10.2,19.2,,William DeAllaume,,
WPL AU,Woodside Petroleum Ltd,,N,64,29,53,91,90,60,61,Yes,"19,686","16,989",64.37,0,5.4,18.5,,William DeAllaume,,
LUPE SS,Lundin Petroleum Ab,,N,64,32,87,37,84,71,88,,"7,605","4,039",27.10,0,2.9,23.7,,William DeAllaume,,
COAL IN,Coal India Ltd,,N,65,2,28,99,100,65,47,Yes,"23,283","3,168",14.84,0,-5.3,11.3,,William DeAllaume,,
PSI CN,Pason Systems Inc,,N,67,11,98,24,84,,88,,"1,206","1,048",2.03,0,-11.9,35.2,,Taylor Cope,,
5019 JP,Idemitsu Kosan Co Ltd,,NO,67,78,21,61,88,83,86,Yes,"5,014","3,413",54.54,0,-10.0,5.8,,Quant Intl,,
WG/ LN,John Wood Group Plc,Yes,N,70,38,39,92,99,39,53,Yes,"2,813","2,731",40.43,0,-23.7,11.5,,Anil Daka,,
FTI FP,Technipfmc Plc,,N,71,60,61,49,91,,73,,"11,895","11,194",71.13,0,,,,William DeAllaume,,
SCL CN,Shawcor Ltd,,O,72,27,77,78,98,30,86,Yes,"1,408","1,401",5.55,0,-26.0,21.2,,Taylor Cope,,
PEY CN,Peyto Exploration & Development Corp,Yes,O,72,31,56,80,100,38,61,Yes,"2,609","2,532",15.59,0,-34.7,14.8,,William DeAllaume,,
